idx,env_name,algo,seed,flags
1,antmaze-giant-navigate-v0,gcbc,0,--agent=agents/gcbc.py
2,antmaze-giant-navigate-v0,gcbc,1,--agent=agents/gcbc.py
3,antmaze-giant-navigate-v0,gcbc,2,--agent=agents/gcbc.py
4,antmaze-giant-navigate-v0,gcivl,0,--agent=agents/gcivl.py --agent.alpha=10.0 --agent.discount=0.995
5,antmaze-giant-navigate-v0,gcivl,1,--agent=agents/gcivl.py --agent.alpha=10.0 --agent.discount=0.995
6,antmaze-giant-navigate-v0,gcivl,2,--agent=agents/gcivl.py --agent.alpha=10.0 --agent.discount=0.995
7,antmaze-giant-navigate-v0,gciql,0,--agent=agents/gciql.py --agent.alpha=0.3 --agent.discount=0.995
8,antmaze-giant-navigate-v0,gciql,1,--agent=agents/gciql.py --agent.alpha=0.3 --agent.discount=0.995
9,antmaze-giant-navigate-v0,gciql,2,--agent=agents/gciql.py --agent.alpha=0.3 --agent.discount=0.995
10,antmaze-giant-navigate-v0,qrl,0,--agent=agents/qrl.py --agent.alpha=0.003 --agent.discount=0.995
11,antmaze-giant-navigate-v0,qrl,1,--agent=agents/qrl.py --agent.alpha=0.003 --agent.discount=0.995
12,antmaze-giant-navigate-v0,qrl,2,--agent=agents/qrl.py --agent.alpha=0.003 --agent.discount=0.995
13,antmaze-giant-navigate-v0,crl,0,--agent=agents/crl.py --agent.alpha=0.1 --agent.discount=0.995
14,antmaze-giant-navigate-v0,crl,1,--agent=agents/crl.py --agent.alpha=0.1 --agent.discount=0.995
15,antmaze-giant-navigate-v0,crl,2,--agent=agents/crl.py --agent.alpha=0.1 --agent.discount=0.995
16,antmaze-giant-stitch-v0,gcbc,0,--agent=agents/gcbc.py
17,antmaze-giant-stitch-v0,gcbc,1,--agent=agents/gcbc.py
18,antmaze-giant-stitch-v0,gcbc,2,--agent=agents/gcbc.py
19,antmaze-giant-stitch-v0,gcivl,0,--agent=agents/gcivl.py --agent.actor_p_randomgoal=0.5 --agent.actor_p_trajgoal=0.5 --agent.alpha=10.0 --agent.discount=0.995
20,antmaze-giant-stitch-v0,gcivl,1,--agent=agents/gcivl.py --agent.actor_p_randomgoal=0.5 --agent.actor_p_trajgoal=0.5 --agent.alpha=10.0 --agent.discount=0.995
21,antmaze-giant-stitch-v0,gcivl,2,--agent=agents/gcivl.py --agent.actor_p_randomgoal=0.5 --agent.actor_p_trajgoal=0.5 --agent.alpha=10.0 --agent.discount=0.995
22,antmaze-giant-stitch-v0,gciql,0,--agent=agents/gciql.py --agent.actor_p_randomgoal=0.5 --agent.actor_p_trajgoal=0.5 --agent.alpha=0.3 --agent.discount=0.995
23,antmaze-giant-stitch-v0,gciql,1,--agent=agents/gciql.py --agent.actor_p_randomgoal=0.5 --agent.actor_p_trajgoal=0.5 --agent.alpha=0.3 --agent.discount=0.995
24,antmaze-giant-stitch-v0,gciql,2,--agent=agents/gciql.py --agent.actor_p_randomgoal=0.5 --agent.actor_p_trajgoal=0.5 --agent.alpha=0.3 --agent.discount=0.995
25,antmaze-giant-stitch-v0,qrl,0,--agent=agents/qrl.py --agent.actor_p_randomgoal=0.5 --agent.actor_p_trajgoal=0.5 --agent.alpha=0.003 --agent.discount=0.995
26,antmaze-giant-stitch-v0,qrl,1,--agent=agents/qrl.py --agent.actor_p_randomgoal=0.5 --agent.actor_p_trajgoal=0.5 --agent.alpha=0.003 --agent.discount=0.995
27,antmaze-giant-stitch-v0,qrl,2,--agent=agents/qrl.py --agent.actor_p_randomgoal=0.5 --agent.actor_p_trajgoal=0.5 --agent.alpha=0.003 --agent.discount=0.995
28,antmaze-giant-stitch-v0,crl,0,--agent=agents/crl.py --agent.actor_p_randomgoal=0.5 --agent.actor_p_trajgoal=0.5 --agent.alpha=0.1 --agent.discount=0.995
29,antmaze-giant-stitch-v0,crl,1,--agent=agents/crl.py --agent.actor_p_randomgoal=0.5 --agent.actor_p_trajgoal=0.5 --agent.alpha=0.1 --agent.discount=0.995
30,antmaze-giant-stitch-v0,crl,2,--agent=agents/crl.py --agent.actor_p_randomgoal=0.5 --agent.actor_p_trajgoal=0.5 --agent.alpha=0.1 --agent.discount=0.995
31,humanoidmaze-giant-navigate-v0,gcbc,0,--agent=agents/gcbc.py
32,humanoidmaze-giant-navigate-v0,gcbc,1,--agent=agents/gcbc.py
33,humanoidmaze-giant-navigate-v0,gcbc,2,--agent=agents/gcbc.py
34,humanoidmaze-giant-navigate-v0,gcivl,0,--agent=agents/gcivl.py --agent.alpha=10.0 --agent.discount=0.995
35,humanoidmaze-giant-navigate-v0,gcivl,1,--agent=agents/gcivl.py --agent.alpha=10.0 --agent.discount=0.995
36,humanoidmaze-giant-navigate-v0,gcivl,2,--agent=agents/gcivl.py --agent.alpha=10.0 --agent.discount=0.995
37,humanoidmaze-giant-navigate-v0,gciql,0,--agent=agents/gciql.py --agent.alpha=0.1 --agent.discount=0.995
38,humanoidmaze-giant-navigate-v0,gciql,1,--agent=agents/gciql.py --agent.alpha=0.1 --agent.discount=0.995
39,humanoidmaze-giant-navigate-v0,gciql,2,--agent=agents/gciql.py --agent.alpha=0.1 --agent.discount=0.995
40,humanoidmaze-giant-navigate-v0,qrl,0,--agent=agents/qrl.py --agent.alpha=0.001 --agent.discount=0.995
41,humanoidmaze-giant-navigate-v0,qrl,1,--agent=agents/qrl.py --agent.alpha=0.001 --agent.discount=0.995
42,humanoidmaze-giant-navigate-v0,qrl,2,--agent=agents/qrl.py --agent.alpha=0.001 --agent.discount=0.995
43,humanoidmaze-giant-navigate-v0,crl,0,--agent=agents/crl.py --agent.alpha=0.1 --agent.discount=0.995
44,humanoidmaze-giant-navigate-v0,crl,1,--agent=agents/crl.py --agent.alpha=0.1 --agent.discount=0.995
45,humanoidmaze-giant-navigate-v0,crl,2,--agent=agents/crl.py --agent.alpha=0.1 --agent.discount=0.995
